index,overall_mean,overall_std,overall_median,overall_min,overall_max,overall_IQR
average_radiances_L cones,1.89264307004,2.36718337757,0.7658,0.0004,10.9462,2.5691
average_radiances_M cones,1.92306154993,2.77501151937,0.6816,0.0006,15.7464,2.3452
average_radiances_S cones,1.04994754098,1.6281254008,0.314,0.0001,10.2478,1.13215
average_radiances_Rods,1.55398226528,1.95313762829,0.6292,0.0002,8.473,2.042
average_radiances_Melanopsin,1.60480059613,2.2618709945,0.5614,0.0002,10.9764,1.9558
average_luminance_L cones,1.16190926665,1.45323348771,0.47013098,0.0002455633,6.719963,1.577191793
average_luminance_M cones,1.32094163084,1.90614191558,0.46818772,0.0004121371,10.816126,1.610906542
average_luminance_S cones,0.791688327762,1.22764978459,0.23676434,7.5402655e-05,7.7271132,0.853671178
average_luminance_Rods,1.07193104178,1.34726688948,0.43401974,0.00013795923,5.8446426,1.408563735
average_luminance_Melanopsin,1.96356408683,2.76752680675,0.68690455,0.00024471126,13.430245,2.393031685
rms_contrast_L cones,0.139533532042,0.0788320808961,0.1304,0.001,0.3808,0.1148
rms_contrast_M cones,0.125719672131,0.0783266104905,0.1113,0.0008,0.3724,0.1134
rms_contrast_S cones,0.136269895678,0.0839768798308,0.1269,0.0008,0.388,0.11485
rms_contrast_Rods,0.150572727273,0.0844127985177,0.1368,0.0012,0.3891,0.12395
rms_contrast_Melanopsin,0.142994634873,0.0847161443026,0.1287,0.0012,0.389,0.1227
